SKU ID,2020_COGS,current inventory value,turn over ratio,turn over days,turn over ratio share %,Cumulative turn over ratio %,ABC,Rank
2767AA,143578.0,547990.0,0.26,1404,0.07,96.38000000000002,C [Less],134
2336BA,143378.0,59920.0,2.39,153,0.07,96.45000000000002,C [Less],135
3619CA,143057.0,27104.0,5.28,69,0.07,96.52000000000001,C [Less],136
2429BA,142534.0,1811037.0,0.08,4562,0.07,96.59,C [Less],137
1499AA,142478.0,59995.0,2.37,154,0.07,96.66,C [Less],138
1764AA,141950.0,5200.0,27.3,13,0.07,96.72999999999999,C [Less],139
1882CA,139650.0,119700.0,1.17,312,0.07,96.79999999999998,C [Less],140
1695CA,135243.0,49479.0,2.73,134,0.07,96.86999999999998,C [Less],141
2060AA,134340.0,436055.0,0.31,1177,0.07,96.93999999999997,C [Less],142
2359CA,133371.0,569400.0,0.23,1587,0.07,97.00999999999996,C [Less],143
3358BA,130909.0,65455.0,2.0,182,0.06,97.06999999999996,C [Less],144
1624AA,128534.0,12276.0,10.47,35,0.06,97.12999999999997,C [Less],145
3038BA,128120.0,13000.0,9.86,37,0.06,97.18999999999997,C [Less],146
2293AA,127921.0,6480.0,19.74,18,0.06,97.24999999999997,C [Less],147
2315BA,127443.0,10953.0,11.64,31,0.06,97.30999999999997,C [Less],148
2673BA,121992.0,62920.0,1.94,188,0.06,97.36999999999998,C [Less],149
2752AA,120108.0,71376.0,1.68,217,0.06,97.42999999999998,C [Less],150
2604CA,119878.0,108781.0,1.1,332,0.06,97.48999999999998,C [Less],151
2785BA,117447.0,145516.0,0.81,451,0.06,97.54999999999998,C [Less],152
1571AA,115459.0,27520.0,4.2,87,0.06,97.60999999999999,C [Less],153
1488BA,114940.0,3150.0,36.49,10,0.06,97.66999999999999,C [Less],154
2096BA,114343.0,210392.0,0.54,676,0.06,97.72999999999999,C [Less],155
2229AA,113858.0,50604.0,2.25,162,0.06,97.78999999999999,C [Less],156
2953CA,112467.0,53194.0,2.11,173,0.06,97.85,C [Less],157
1798AA,111463.0,4875.0,22.86,16,0.06,97.91,C [Less],158
2727CA,109841.0,85872.0,1.28,285,0.05,97.96,C [Less],159
2763CA,107823.0,88587.0,1.22,299,0.05,98.00999999999999,C [Less],160
2212CA,107008.0,77824.0,1.38,264,0.05,98.05999999999999,C [Less],161
2876CA,103864.0,246624.0,0.42,869,0.05,98.10999999999999,C [Less],162
2337CA,99698.0,55414.0,1.8,203,0.05,98.15999999999998,C [Less],163
1906CA,98475.0,60600.0,1.62,225,0.05,98.20999999999998,C [Less],164
2227AA,93954.0,120262.0,0.78,468,0.05,98.25999999999998,C [Less],165
2396CA,93049.0,95505.0,0.97,376,0.05,98.30999999999997,C [Less],166
2729AA,87996.0,67336.0,1.31,279,0.04,98.34999999999998,C [Less],167
1464AA,86785.0,17694.0,4.9,74,0.04,98.38999999999999,C [Less],168
3160BA,86420.0,105655.0,0.82,445,0.04,98.42999999999999,C [Less],169
3365CA,82960.0,4131.0,20.08,18,0.04,98.47,C [Less],170
2265BA,82882.0,103179.0,0.8,456,0.04,98.51,C [Less],171
3616CA,82722.0,143356.0,0.58,629,0.04,98.55000000000001,C [Less],172
2236CA,79249.0,176290.0,0.45,811,0.04,98.59000000000002,C [Less],173
2277AA,76677.0,65329.0,1.17,312,0.04,98.63000000000002,C [Less],174
2066AA,75997.0,507161.0,0.15,2433,0.04,98.67000000000003,C [Less],175
1956CA,75000.0,15000.0,5.0,73,0.04,98.71000000000004,C [Less],176
1582CA,74866.0,12650.0,5.92,62,0.04,98.75000000000004,C [Less],177
2142CA,73900.0,1013908.0,0.07,5214,0.04,98.79000000000005,C [Less],178
2115CA,68842.0,130034.0,0.53,689,0.03,98.82000000000005,C [Less],179
2483BA,68512.0,200807.0,0.34,1074,0.03,98.85000000000005,C [Less],180
3495CA,65210.0,17010.0,3.83,95,0.03,98.88000000000005,C [Less],181
1872CA,64000.0,96000.0,0.67,545,0.03,98.91000000000005,C [Less],182
3025CA,63365.0,16388.0,3.87,94,0.03,98.94000000000005,C [Less],183
1486CA,61603.0,12588.0,4.89,75,0.03,98.97000000000006,C [Less],184
3143CA,59227.0,30856.0,1.92,190,0.03,99.00000000000006,C [Less],185
3138CA,57170.0,90644.0,0.63,579,0.03,99.03000000000006,C [Less],186
3590BA,56967.0,16687.0,3.41,107,0.03,99.06000000000006,C [Less],187
2524AA,56000.0,55944.0,1.0,365,0.03,99.09000000000006,C [Less],188
3053AA,55336.0,11158.0,4.96,74,0.03,99.12000000000006,C [Less],189
2600BA,48437.0,612068.0,0.08,4562,0.02,99.14000000000006,C [Less],190
1584BA,47722.0,8500.0,5.61,65,0.02,99.16000000000005,C [Less],191
2923CA,42699.0,9993.0,4.27,85,0.02,99.18000000000005,C [Less],192
1630BA,42509.0,116014.0,0.37,986,0.02,99.20000000000005,C [Less],193
1745BA,42360.0,3675.0,11.53,32,0.02,99.22000000000004,C [Less],194
3125AA,41817.0,17156.0,2.44,150,0.02,99.24000000000004,C [Less],195
2970CA,39440.0,14342.0,2.75,133,0.02,99.26000000000003,C [Less],196
3075BA,38631.0,13578.0,2.85,128,0.02,99.28000000000003,C [Less],197
2054CA,37064.0,197976.0,0.19,1921,0.02,99.30000000000003,C [Less],198
2498BA,36864.0,47186.0,0.78,468,0.02,99.32000000000002,C [Less],199
3161BA,36000.0,114120.0,0.32,1141,0.02,99.34000000000002,C [Less],200
3462AA,33632.0,3362.0,10.0,36,0.02,99.36000000000001,C [Less],201
2054AA,33081.0,98490.0,0.34,1074,0.02,99.38000000000001,C [Less],202
3264CA,32700.0,27900.0,1.17,312,0.02,99.4,C [Less],203
3610AA,32013.0,42944.0,0.75,487,0.02,99.42,C [Less],204
3399AA,30966.0,2727.0,11.36,32,0.02,99.44,C [Less],205
2220BA,30080.0,80464.0,0.37,986,0.01,99.45,C [Less],206
3027CA,29792.0,30937.0,0.96,380,0.01,99.46000000000001,C [Less],207
3180BA,29296.0,7500.0,3.91,93,0.01,99.47000000000001,C [Less],208
3448CA,28828.0,10212.0,2.82,129,0.01,99.48000000000002,C [Less],209
2621AA,28420.0,100521.0,0.28,1304,0.01,99.49000000000002,C [Less],210
1953AA,27479.0,36007.0,0.76,480,0.01,99.50000000000003,C [Less],211
1650AA,26778.0,62956.0,0.43,849,0.01,99.51000000000003,C [Less],212
3003AA,26364.0,52728.0,0.5,730,0.01,99.52000000000004,C [Less],213
3075AA,22824.0,14069.0,1.62,225,0.01,99.53000000000004,C [Less],214
1956AA,22351.0,1983.0,11.27,32,0.01,99.54000000000005,C [Less],215
2223AA,21130.0,137805.0,0.15,2433,0.01,99.55000000000005,C [Less],216
2229CA,21028.0,80357.0,0.26,1404,0.01,99.56000000000006,C [Less],217
2508BA,20840.0,21303.0,0.98,372,0.01,99.57000000000006,C [Less],218
2935BA,19755.0,17833.0,1.11,329,0.01,99.58000000000007,C [Less],219
3576BA,18767.0,7256.0,2.59,141,0.01,99.59000000000007,C [Less],220
1688CA,17815.0,8610.0,2.07,176,0.01,99.60000000000008,C [Less],221
1420CA,17285.0,270.0,64.02,6,0.01,99.61000000000008,C [Less],222
2539AA,17260.0,5610.0,3.08,119,0.01,99.62000000000009,C [Less],223
1488CA,16462.0,3000.0,5.49,66,0.01,99.6300000000001,C [Less],224
1945AA,16405.0,29915.0,0.55,664,0.01,99.6400000000001,C [Less],225
1826AA,16397.0,450.0,36.44,10,0.01,99.6500000000001,C [Less],226
3006CA,15932.0,120.0,132.77,3,0.01,99.66000000000011,C [Less],227
1857AA,15862.0,240.0,66.09,6,0.01,99.67000000000012,C [Less],228
1851CA,15595.0,180.0,86.64,4,0.01,99.68000000000012,C [Less],229
1672AA,15583.0,12450.0,1.25,292,0.01,99.69000000000013,C [Less],230
3126BA,15495.0,5700.0,2.72,134,0.01,99.70000000000013,C [Less],231
1830AA,15434.0,780.0,19.79,18,0.01,99.71000000000014,C [Less],232
1678CA,15291.0,6900.0,2.22,164,0.01,99.72000000000014,C [Less],233
1373BA,15127.0,270.0,56.03,7,0.01,99.73000000000015,C [Less],234
1767CA,15111.0,420.0,35.98,10,0.01,99.74000000000015,C [Less],235
1317BA,15065.0,120.0,125.54,3,0.01,99.75000000000016,C [Less],236
3512AA,14792.0,7221.0,2.05,178,0.01,99.76000000000016,C [Less],237
1698CA,14669.0,450.0,32.6,11,0.01,99.77000000000017,C [Less],238
1308BA,14592.0,240.0,60.8,6,0.01,99.78000000000017,C [Less],239
1296CA,14449.0,120.0,120.41,3,0.01,99.79000000000018,C [Less],240
2365AA,14274.0,15090.0,0.95,384,0.01,99.80000000000018,C [Less],241
1712AA,14254.0,510.0,27.95,13,0.01,99.81000000000019,C [Less],242
3132BA,14250.0,6460.0,2.21,165,0.01,99.82000000000019,C [Less],243
1315BA,14203.0,180.0,78.91,5,0.01,99.8300000000002,C [Less],244
1325AA,14101.0,180.0,78.34,5,0.01,99.8400000000002,C [Less],245
1811CA,14100.0,450.0,31.33,12,0.01,99.85000000000021,C [Less],246
2548CA,14008.0,2580.0,5.43,67,0.01,99.86000000000021,C [Less],247
1766CA,13795.0,330.0,41.8,9,0.01,99.87000000000022,C [Less],248
1819AA,13657.0,450.0,30.35,12,0.01,99.88000000000022,C [Less],249
1390BA,13592.0,330.0,41.19,9,0.01,99.89000000000023,C [Less],250
1326AA,13578.0,240.0,56.58,6,0.01,99.90000000000023,C [Less],251
3413AA,13555.0,5648.0,2.4,152,0.01,99.91000000000024,C [Less],252
3345AA,13420.0,7456.0,1.8,203,0.01,99.92000000000024,C [Less],253
1374CA,13379.0,120.0,111.49,3,0.01,99.93000000000025,C [Less],254
1902BA,13293.0,180.0,73.85,5,0.01,99.94000000000025,C [Less],255
2143AA,13290.0,5880.0,2.26,162,0.01,99.95000000000026,C [Less],256
2096AA,13143.0,5160.0,2.55,143,0.01,99.96000000000026,C [Less],257
2938CA,13137.0,8890.0,1.48,247,0.01,99.97000000000027,C [Less],258
1468AA,13116.0,13770.0,0.95,384,0.01,99.98000000000027,C [Less],259
1947CA,13097.0,480.0,27.29,13,0.01,99.99000000000028,C [Less],260
1196AA,13060.0,37590.0,0.35,1043,0.01,100.00000000000028,C [Less],261
2449CA,12805.0,1980930.0,0.01,36500,0.01,100.01000000000029,C [Less],262
2956AA,12732.0,4869.0,2.61,140,0.01,100.0200000000003,C [Less],263
2930CA,12605.0,4662.0,2.7,135,0.01,100.0300000000003,C [Less],264
1827AA,12457.0,450.0,27.68,13,0.01,100.0400000000003,C [Less],265
1321BA,12316.0,270.0,45.61,8,0.01,100.05000000000031,C [Less],266
1514BA,11648.0,4326.0,2.69,136,0.01,100.06000000000031,C [Less],267
3494AA,10927.0,9380.0,1.16,315,0.01,100.07000000000032,C [Less],268
1434BA,10853.0,810.0,13.4,27,0.01,100.08000000000033,C [Less],269
3322AA,9262.0,193857.0,0.05,7300,0.0,100.08000000000033,C [Less],270
3378CA,8385.0,2850.0,2.94,124,0.0,100.08000000000033,C [Less],271
1441AA,7220.0,7220.0,1.0,365,0.0,100.08000000000033,C [Less],272
